plot,site,plot_size,exposition,sand_ratio,substrate_depth,target_type,seed_density,survey_date.seeded,survey_date.2018,survey_date.2019,survey_date.2020,survey_date.2021,vegetation_cover.2018,vegetation_cover.2019,vegetation_cover.2020,vegetation_cover.2021
W3_14,3,6,north,0,30,hay_meadow,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,30,75,75,80
W3_15,3,6,north,0,30,dry_grassland,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,45,80,85,80
W3_16,3,6,north,0,30,dry_grassland,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,40,75,90,80
W3_17,3,6,north,25,30,dry_grassland,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,55,90,90,90
W3_18,3,6,north,25,30,hay_meadow,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,55,90,85,90
W3_19,3,6,north,25,30,dry_grassland,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,50,95,85,90
W3_20,3,6,north,25,30,hay_meadow,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,50,85,85,90
W3_21,3,6,north,50,30,hay_meadow,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,60,85,90,90
W3_22,3,6,north,50,30,dry_grassland,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,60,80,85,90
W3_23,3,6,north,50,30,dry_grassland,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,75,95,85,90
W3_24,3,6,north,50,30,hay_meadow,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,50,90,90,100
W4_01,4,6,north,0,15,dry_grassland,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,75,80,90,90
W4_02,4,6,north,0,15,hay_meadow,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,70,75,80,80
W4_03,4,6,north,0,15,dry_grassland,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,60,70,85,90
W4_04,4,6,north,0,15,hay_meadow,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,60,75,80,90
W4_05,4,6,north,25,15,hay_meadow,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,40,80,85,100
W4_06,4,6,north,25,15,hay_meadow,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,35,85,90,90
W4_07,4,6,north,25,15,dry_grassland,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,25,95,80,90
W4_08,4,6,north,25,15,dry_grassland,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,70,95,85,90
W4_09,4,6,north,50,15,hay_meadow,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,30,75,75,80
W4_10,4,6,north,50,15,hay_meadow,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,30,70,80,80
W4_11,4,6,north,50,15,dry_grassland,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,30,90,85,80
W4_12,4,6,north,50,15,dry_grassland,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,25,80,80,80
W4_13,4,6,north,0,30,dry_grassland,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,70,70,90,80
W4_14,4,6,north,0,30,hay_meadow,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,70,70,85,80
W4_15,4,6,north,0,30,hay_meadow,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,60,75,80,80
W4_16,4,6,north,0,30,dry_grassland,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,60,85,85,90
W4_17,4,6,north,25,30,dry_grassland,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,50,90,80,90
W4_18,4,6,north,25,30,hay_meadow,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,40,75,75,90
W4_19,4,6,north,25,30,hay_meadow,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,25,65,75,80
W4_20,4,6,north,25,30,dry_grassland,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,35,95,75,90
W4_21,4,6,north,50,30,hay_meadow,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,15,60,70,90
W4_22,4,6,north,50,30,hay_meadow,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,10,65,75,70
W4_23,4,6,north,50,30,dry_grassland,8,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,5,80,90,90
W4_24,4,6,north,50,30,dry_grassland,4,2018-04-13,2018-07-19,2019-06-20,2020-06-12,2021-07-10,10,85,75,80
W5_01,5,6,north,0,15,dry_grassland,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,65,85,90,90
W5_02,5,6,north,0,15,hay_meadow,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,55,80,85,80
W5_03,5,6,north,0,15,dry_grassland,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,65,95,85,90
W5_04,5,6,north,0,15,hay_meadow,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,65,75,90,90
W5_05,5,6,north,25,15,dry_grassland,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,55,85,90,90
W5_06,5,6,north,25,15,hay_meadow,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,45,80,75,80
W5_07,5,6,north,25,15,hay_meadow,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,25,70,75,90
W5_08,5,6,north,25,15,dry_grassland,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,65,90,80,80
W5_09,5,6,north,50,15,dry_grassland,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,25,50,80,90
W5_10,5,6,north,50,15,hay_meadow,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,65,60,70,80
W5_11,5,6,north,50,15,hay_meadow,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,65,65,65,80
W5_12,5,6,north,50,15,dry_grassland,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,60,70,70,80
W5_13,5,6,north,0,30,dry_grassland,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,65,75,80,90
W5_14,5,6,north,0,30,hay_meadow,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,80,80,90,90
W5_15,5,6,north,0,30,hay_meadow,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,90,65,90,90
W5_16,5,6,north,0,30,dry_grassland,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,80,70,85,90
W5_17,5,6,north,25,30,dry_grassland,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,40,60,75,80
W5_18,5,6,north,25,30,hay_meadow,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,45,80,80,80
W5_19,5,6,north,25,30,dry_grassland,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,40,75,80,90
W5_20,5,6,north,25,30,hay_meadow,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,50,70,80,90
W5_21,5,6,north,50,30,dry_grassland,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,65,90,85,90
W5_22,5,6,north,50,30,hay_meadow,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,50,80,85,80
W5_23,5,6,north,50,30,dry_grassland,8,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,60,75,90,80
W5_24,5,6,north,50,30,hay_meadow,4,2018-04-13,2018-07-19,2019-06-18,2020-06-11,2021-07-14,30,75,80,90
W6_01,6,6,north,0,15,dry_grassland,4,2018-04-13,2018-07-18,2019-06-18,2020-06-08,2021-07-15,65,75,85,100
W6_02,6,6,north,0,15,hay_meadow,8,2018-04-13,2018-07-18,2019-06-18,2020-06-08,2021-07-15,75,80,80,100
W6_03,6,6,north,0,15,dry_grassland,8,2018-04-13,2018-07-18,2019-06-18,2020-06-08,2021-07-15,60,90,100,100
W6_04,6,6,north,0,15,hay_meadow,4,2018-04-13,2018-07-18,2019-06-18,2020-06-08,2021-07-15,70,65,80,100
W6_05,6,6,north,25,15,dry_grassland,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-15,50,70,75,90
W6_06,6,6,north,25,15,hay_meadow,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,60,55,70,90
W6_07,6,6,north,25,15,dry_grassland,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,60,80,75,100
W6_08,6,6,north,25,15,hay_meadow,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,40,75,80,90
W6_09,6,6,north,50,15,hay_meadow,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,30,50,75,90
W6_10,6,6,north,50,15,dry_grassland,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,25,75,70,90
W6_11,6,6,north,50,15,dry_grassland,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,30,80,80,100
W6_12,6,6,north,50,15,hay_meadow,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,30,80,85,90
W6_13,6,6,north,0,30,dry_grassland,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,60,60,70,90
W6_14,6,6,north,0,30,hay_meadow,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,60,70,85,90
W6_15,6,6,north,0,30,hay_meadow,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,60,55,75,100
W6_16,6,6,north,0,30,dry_grassland,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,70,60,80,100
W6_17,6,6,north,25,30,hay_meadow,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,60,70,75,100
W6_18,6,6,north,25,30,hay_meadow,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,55,65,75,90
W6_19,6,6,north,25,30,dry_grassland,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,70,70,75,90
W6_20,6,6,north,25,30,dry_grassland,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,60,60,65,90
W6_21,6,6,north,50,30,dry_grassland,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,70,85,75,100
W6_22,6,6,north,50,30,hay_meadow,8,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,30,70,65,70
W6_23,6,6,north,50,30,hay_meadow,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,20,75,65,80
W6_24,6,6,north,50,30,dry_grassland,4,2018-04-13,2018-07-18,2019-06-19,2020-06-08,2021-07-16,25,75,80,90
